product_id,app_name,tags,specs
35140,Batman: Arkham Asylum Game of the Year Edition,"['Action', 'Batman', 'Stealth', 'Adventure', 'Third Person', 'Superhero', 'Singleplayer', ""Beat 'em up"", 'Open World', 'Comic Book', 'Detective', 'Atmospheric', 'Story Rich', 'Fighting', 'Action-Adventure', 'Controller', 'Metroidvania', '3D Vision', 'Puzzle', 'Horror']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']"
350280,LawBreakers,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Arena Shooter', 'First-Person', 'Fast-Paced', 'Sci-fi', 'Online Co-Op', 'Futuristic', 'Team-Based', 'Competitive', 'Co-op', 'Difficult', 'Class-Based', 'Great Soundtrack', 'MOBA', 'Memes', 'Strategy', 'Indie']","['Multi-player', 'Online Multi-Player', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']"
308040,Back to Bed,"['Indie', 'Puzzle', 'Casual', 'Surreal', 'Action', 'Isometric', 'Singleplayer']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']"
1840,Source Filmmaker,"['Animation & Modeling', 'Video Production', 'Free to Play', 'Software', 'Movie', 'Sandbox', 'Difficult', 'Funny', 'Action', 'Comedy', 'Singleplayer', 'Moddable', 'Multiplayer', 'Character Customization', 'Horror', 'First-Person', 'Anime', 'Crafting', 'Great Soundtrack', 'Strategy']",['Steam Workshop']
745880,東方天空璋 ～ Hidden Star in Four Seasons.,"['Bullet Hell', 'Great Soundtrack', 'Difficult', 'Female Protagonist', ""Shoot 'Em Up"", 'Indie', 'Singleplayer', 'Cute', 'Arcade', 'Faith', '2D', 'Fantasy', 'Lore-Rich', 'Story Rich', 'Cult Classic', 'Anime', 'Casual', 'Action', 'Family Friendly']",['Single-player']
233550,Another World – 20th Anniversary Edition,"['Adventure', 'Classic', 'Action', 'Platformer', 'Retro', 'Remake', 'Singleplayer', 'Sci-fi', 'Controller', '2D', 'Cinematic', 'Difficult', 'Atmospheric', 'Puzzle', 'Aliens', ""1990's""]","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']"
275180,Costume Quest 2,"['RPG', 'Adventure', 'Casual', 'Comedy', 'Funny', 'Singleplayer', 'Family Friendly', 'Turn-Based Combat', 'Cute', 'Turn-Based', 'Fantasy', 'Indie', 'Action', 'Female Protagonist', 'Multiplayer', 'JRPG']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
335620,Star Traders: Frontiers,"['Early Access', 'RPG', 'Sci-fi', 'Turn-Based', 'Singleplayer', 'Character Customization', 'Indie', 'Perma Death', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']"
390340,Umbrella Corps™/Biohazard Umbrella Corps™,"['Action', 'Zombies', 'Multiplayer', 'Shooter', 'Third-Person Shooter', 'Co-op', 'Horror', 'Singleplayer', 'FPS', 'Survival', 'Competitive', 'PvP', 'Atmospheric', 'Third Person', 'Anime', 'Team-Based', 'Gore', 'Casual', 'First-Person', 'Tactical']","['Single-player', 'Online Multi-Player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']"
271590,Grand Theft Auto V,"['Open World', 'Action', 'Multiplayer', 'First-Person', 'Third Person', 'Crime', 'Adventure', 'Shooter', 'Third-Person Shooter', 'Singleplayer', 'Racing', 'Mature', 'Atmospheric', 'Sandbox', 'Co-op', 'Great Soundtrack', 'Funny', 'Comedy', 'Moddable', 'RPG']","['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support']"
427730,Who's Your Daddy,"['Funny', 'Multiplayer', 'First-Person', 'Comedy', 'Simulation', 'Strategy', 'Online Co-Op', 'Casual', 'Dark Humor', 'Co-op', 'Indie', 'Action', 'Difficult', 'Survival', 'Walking Simulator', 'Adventure', 'Sandbox', 'Singleplayer', 'Atmospheric', 'FPS']","['Multi-player', 'Cross-Platform Multiplayer', 'Partial Controller Support']"
61700,Might & Magic: Clash of Heroes,"['Strategy', 'Puzzle', 'RPG', 'Turn-Based', 'Match 3', 'Singleplayer', 'Multiplayer', 'Fantasy', 'Anime', 'Tactical', 'Casual', 'Adventure', 'Co-op', '2D', 'Female Protagonist']","['Single-player', 'Multi-player', 'Co-op', 'Partial Controller Support', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Steam Leaderboards']"
369990,"Gremlins, Inc.","['Board Game', 'Strategy', 'Multiplayer', 'Turn-Based', 'Card Game', 'Indie', 'Steampunk', 'Replay Value', 'Singleplayer', 'Turn-Based Strategy', '2D', 'Stylized', 'Atmospheric', 'Fantasy', 'Politics', 'Great Soundtrack', 'Competitive', 'Soundtrack', 'Comedy']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']"
417290,Ghost of a Tale,"['Early Access', 'Adventure', 'Stealth', 'Indie', 'RPG', 'Atmospheric', 'Action', 'Singleplayer', 'Cute', 'Funny', 'Narration', 'Fantasy']","['Single-player', 'Full controller support']"
214560,Mark of the Ninja,"['Stealth', 'Platformer', 'Ninja', 'Indie', '2D', 'Action', 'Singleplayer', 'Side Scroller', 'Adventure', 'Atmospheric', 'Assassin', 'Controller', 'Replay Value', 'Cartoon', 'Puzzle', 'Dark', 'Short', 'Strategy', 'Story Rich', 'Casual']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']"
292140,FINAL FANTASY® XIII-2,"['JRPG', 'RPG', 'Fantasy', 'Singleplayer', 'Female Protagonist', 'Great Soundtrack', 'Story Rich', 'Anime', 'Adventure', 'Time Travel', 'Sci-fi', 'Action', 'Third Person', 'Open World', 'Action RPG', 'Cinematic', 'Turn-Based', 'Linear', 'Atmospheric', 'Turn-Based Combat']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']"
341720,Among Ripples,"['Free to Play', 'Casual', 'Simulation', 'Indie', 'Singleplayer', 'Relaxing', 'Underwater', '2D', 'Sandbox']",['Single-player']
241620,Inquisitor,"['RPG', 'Indie', 'Isometric', 'Dark Fantasy', 'Gore', 'Violent', 'Singleplayer', 'Fantasy', 'Story Rich', 'Medieval', 'CRPG']","['Single-player', 'Steam Trading Cards']"
310370,The Way of Life Free Edition,"['Free to Play', 'Walking Simulator', 'First-Person', 'Indie', 'Singleplayer', 'Adventure', 'Short', 'Multiplayer', 'Simulation', 'Open World', 'Atmospheric', 'Survival', 'Great Soundtrack', 'Story Rich', 'Action', 'Family Friendly', 'Funny', 'Illuminati', 'Strategy', 'VR']","['Single-player', 'Full controller support']"
310360,Higurashi When They Cry Hou - Ch.1 Onikakushi,"['Visual Novel', 'Mystery', 'Anime', 'Story Rich', 'Psychological', 'Atmospheric', 'Dark', 'Cult Classic', 'Singleplayer', 'Adventure', 'Cute', 'Great Soundtrack', 'Linear', 'Classic', 'Casual', '2D']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']"
291550,Brawlhalla,"['Free to Play', 'Multiplayer', 'Fighting', '2D', '2D Fighter', 'Action', 'Local Multiplayer', 'Platformer', 'Controller', 'Co-op', ""Beat 'em up"", 'Local Co-Op', 'Online Co-Op', 'Indie', '4 Player Local', 'Massively Multiplayer', 'Singleplayer', 'Survival', 'Adventure', 'Anime']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']"
385770,Time Clickers,"['Free to Play', 'Clicker', 'Casual', 'Action', 'Indie', 'FPS', 'Shooter', 'Singleplayer', 'Multiplayer', 'Strategy', 'Time Travel', 'Voxel', 'Adventure', 'RPG', 'Simulation', 'Tower Defense', 'First-Person', 'Point & Click', 'Sandbox', 'Open World']","['Single-player', 'Steam Achievements']"
465490,Stellar Tactics,"['Early Access', 'Adventure', 'RPG', 'Turn-Based Combat', 'Indie', 'Sci-fi', 'Strategy', 'Space', 'Exploration', 'Sandbox', 'Open World', 'Singleplayer', 'CRPG', 'Isometric', 'Atmospheric', 'Dark Humor', 'Classic', 'Tactical', 'Turn-Based']","['Single-player', 'Steam Cloud']"
